committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00637660,FRIENDS OF RANDY WADKINS,2018,30G,201812159143523777,17,SB17.41611,1301463,IND,INDIVIDUAL,C00637660,,"CHOINSKI, ELIZABETH",MS,FRIENDS OF RANDY WADKINS,,,,MILEAGE EXPENSES: DISTRIBUTION OF DIRECT MAIL IN DISTRICT,,,2018-10-31 00:00:00,300.00,H,HOUSE,01,,,,,,,,MS,MISSISSIPPI,G2018,,GENERAL,2018,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2018-12-16 02:28:08.015,,,,0.00,CHOINSKI,ELIZABETH,,002,Travel Expenses,,,,,,,H,F3,4121520181622086471,OXFORD,38655,FUNDRAISING,,2018,SB,4121520181622090198,http://docquery.fec.gov/cgi-bin/fecimg/?201812159143523777,Operating Expenditures,,,,,,
C00637660,FRIENDS OF RANDY WADKINS,2018,30G,201812159143523794,17,SB17.41491,1301463,ORG,ORGANIZATION,C00637660,,PRINT PLACE,TX,FRIENDS OF RANDY WADKINS,,,,DIRECT MAIL POSTCARDS,,,2018-10-23 00:00:00,853.75,H,HOUSE,01,,,,,,,,MS,MISSISSIPPI,G2018,,GENERAL,2018,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2018-12-16 02:28:08.021,,,,0.00,,,,004,Advertising Expenses ,,,,,,,H,F3,4121520181622086471,ARLINGTON,76011,FUNDRAISING,,2018,SB,4121520181622090300,http://docquery.fec.gov/cgi-bin/fecimg/?201812159143523794,Operating Expenditures,,,,,,
C00637660,FRIENDS OF RANDY WADKINS,2018,30G,201812159143523798,17,SB17.41500,1301463,ORG,ORGANIZATION,C00637660,,USPS.COM,DC,FRIENDS OF RANDY WADKINS,,,,DIRECT MAIL: 397++ ZIP CODES,,,2018-10-26 00:00:00,885.55,H,HOUSE,01,,,,,,,,MS,MISSISSIPPI,G2018,,GENERAL,2018,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2018-12-16 02:28:08.022,,,,0.00,,,,004,Advertising Expenses ,,,,,,,H,F3,4121520181622086471,WASHINGTON,20001,FUNDRAISING,,2018,SB,4121520181622090322,http://docquery.fec.gov/cgi-bin/fecimg/?201812159143523798,Operating Expenditures,,,,,,
C00637660,FRIENDS OF RANDY WADKINS,2018,30G,201812159143523798,17,SB17.41505,1301463,ORG,ORGANIZATION,C00637660,,USPS.COM,DC,FRIENDS OF RANDY WADKINS,,,,DIRECT MAIL CRAWFORD MS,,,2018-10-29 00:00:00,95.41,H,HOUSE,01,,,,,,,,MS,MISSISSIPPI,G2018,,GENERAL,2018,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2018-12-16 02:28:08.022,,,,0.00,,,,004,Advertising Expenses ,,,,,,,H,F3,4121520181622086471,WASHINGTON,20001,FUNDRAISING,,2018,SB,4121520181622090324,http://docquery.fec.gov/cgi-bin/fecimg/?201812159143523798,Operating Expenditures,,,,,,
C00637660,FRIENDS OF RANDY WADKINS,2018,30G,201812159143523798,17,SB17.41507,1301463,ORG,ORGANIZATION,C00637660,,USPS.COM,DC,FRIENDS OF RANDY WADKINS,,,,DIRECT MAIL 389++ ZIPCODES,,,2018-10-29 00:00:00,153.80,H,HOUSE,01,,,,,,,,MS,MISSISSIPPI,G2018,,GENERAL,2018,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2018-12-16 02:28:08.022,,,,0.00,,,,004,Advertising Expenses ,,,,,,,H,F3,4121520181622086471,WASHINGTON,20001,FUNDRAISING,,2018,SB,4121520181622090326,http://docquery.fec.gov/cgi-bin/fecimg/?201812159143523798,Operating Expenditures,,,,,,
C00637660,FRIENDS OF RANDY WADKINS,2018,30G,201812159143523799,17,SB17.41510,1301463,ORG,ORGANIZATION,C00637660,,USPS.COM,DC,FRIENDS OF RANDY WADKINS,,,,DIRECT MAIL 397++ ZIPCODES,,,2018-10-29 00:00:00,168.57,H,HOUSE,01,,,,,,,,MS,MISSISSIPPI,G2018,,GENERAL,2018,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2018-12-16 02:28:08.022,,,,0.00,,,,004,Advertising Expenses ,,,,,,,H,F3,4121520181622086471,WASHINGTON,20001,FUNDRAISING,,2018,SB,4121520181622090328,http://docquery.fec.gov/cgi-bin/fecimg/?201812159143523799,Operating Expenditures,,,,,,
C00637660,FRIENDS OF RANDY WADKINS,2018,30G,201812159143523799,17,SB17.41511,1301463,ORG,ORGANIZATION,C00637660,,USPS.COM,DC,FRIENDS OF RANDY WADKINS,,,,DIRECT MAIL 386++ ZIPCODES,,,2018-10-29 00:00:00,517.27,H,HOUSE,01,,,,,,,,MS,MISSISSIPPI,G2018,,GENERAL,2018,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2018-12-16 02:28:08.022,,,,0.00,,,,004,Advertising Expenses ,,,,,,,H,F3,4121520181622086471,WASHINGTON,20001,FUNDRAISING,,2018,SB,4121520181622090330,http://docquery.fec.gov/cgi-bin/fecimg/?201812159143523799,Operating Expenditures,,,,,,
C00412890,ADRIAN SMITH FOR CONGRESS,2018,30G,201812069134369546,17,BC63012B369E4438CACD,1296449,ORG,ORGANIZATION,,,"RUSHMORE COMPANY, LLC",NE,,,,,DIRECT MAIL,,,2018-10-31 00:00:00,6469.95,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:38:54.564,,,,0.00,,,,004,Advertising Expenses ,,,,,,,H,F3,4120620181620449647,LINCOLN,685051860,FUNDRAISING,,2018,SB,4121720181622102915,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134369546,Operating Expenditures,,,,,,
C00657981,FRIENDS OF STEVE NEGRON,2018,30G,201812069134347710,17,SB17.6606,1296317,ORG,ORGANIZATION,,,AXIOM STRATEGIES,MO,,,,,DIRECT MAIL,,,2018-10-26 00:00:00,6085.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:38:54.584,,,,0.00,,,,,,,,,,,,H,F3,4120620181620449619,KANSAS CITY,64116,FUNDRAISING,,2018,SB,4121720181622103435,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134347710,Operating Expenditures,,,,,,
C00462861,"KUSTER FOR CONGRESS, INC",2018,30G,201812069134881202,17,VPECNA89PY1,1298968,ORG,ORGANIZATION,,,MISSION CONTROL,CT,,,,,DIRECT MAIL,,,2018-10-22 00:00:00,7070.00,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:39:00.643,,,,0.00,,,,,,,,,,,,H,F3,4120620181620450137,MANSFIELD CENTER,062501316,FUNDRAISING,,2018,SB,4121720181622105612,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134881202,Operating Expenditures,,,,,,
C00519355,DONALD M PAYNE JR FOR CONGRESS,2018,30G,201812059134167203,17,VN80AAD5H76,1295650,ORG,ORGANIZATION,,,KENNEDY COMMUNICATIONS INC,DC,,,,,"DESIGN, PRINTING AND DIRECT MAILING SERVICES",,,2018-10-27 00:00:00,29022.00,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:39:06.125,,,,0.00,,,,006,Campaign Materials,,,,,,,H,F3,4120520181620447183,WASHINGTON,20037,FUNDRAISING,,2018,SB,4121720181622109754,http://docquery.fec.gov/cgi-bin/fecimg/?201812059134167203,Operating Expenditures,,,,,,
C00661637,JOHN MCCANN FOR CONGRESS,2018,30G,201812059134104310,17,SB17.6670,1295289,ORG,ORGANIZATION,,,STRATEGIC CAMPAIGN GROUP INC,MD,,,,,DIRECT MAIL,,,2018-10-31 00:00:00,17500.00,H,HOUSE,05,H8NJ05136,"MCCANN, JOHN JOSEPH MR. JR.",JOHN JOSEPH MR. JR.,MCCANN,,,,NJ,NEW JERSEY,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:39:06.175,,,,0.00,,,,003,Solicitation and Fundraising Expenses ,,,,,,,H,F3,4120520181620447141,ANNAPOLIS,21401,FUNDRAISING,,2018,SB,4121720181622110766,http://docquery.fec.gov/cgi-bin/fecimg/?201812059134104310,Operating Expenditures,,,,,,
C00669069,WEBBER FOR CONGRESS,2018,30G,201812069135104251,17,SB17-EX173,1299593,ORG,ORGANIZATION,,,CAPITOL HILL LISTS,GA,,,,,DIRECT MAIL,,,2018-10-24 00:00:00,1675.77,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:39:11.188,,,,0.00,,,,003,Solicitation and Fundraising Expenses ,,,,,,,H,F3,4120720181620534728,STATHAM,30666,FUNDRAISING,DIRECT MAIL,2018,SB,4121720181622111140,http://docquery.fec.gov/cgi-bin/fecimg/?201812069135104251,Operating Expenditures,,,,,,
C00669069,WEBBER FOR CONGRESS,2018,30G,201812069135104252,17,SB17-EX195,1299593,ORG,ORGANIZATION,,,RESPONSE AMERICA,VA,,,,,DIRECT MAIL,,,2018-10-24 00:00:00,2500.00,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:39:11.188,,,,0.00,,,,003,Solicitation and Fundraising Expenses ,,,,,,,H,F3,4120720181620534728,ALEXANDRIA,22314,FUNDRAISING,DIRECT MAIL,2018,SB,4121720181622111146,http://docquery.fec.gov/cgi-bin/fecimg/?201812069135104252,Operating Expenditures,,,,,,
