committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00630426,JON OSSOFF FOR CONGRESS,2017,12S,201707219067035971,17,VTD7Q9XDD65,1174322,ORG,ORGANIZATION,,,LAKE RESEARCH PARTNERS,DC,,,,,FOCUS GROUP,,,2017-03-23 00:00:00,1350.00,,,,,,,,,,,,,S2017,SPECIAL,SPECIAL,2017,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-07-25 01:58:59.736,,,,0.00,,,,,,,,,,,,H,F3,4072120171426356844,WASHINGTON,200364742,OTHER,,2018,SB,4072420171426786524,http://docquery.fec.gov/cgi-bin/fecimg/?201707219067035971,Operating Expenditures,,,,,,
C00630426,JON OSSOFF FOR CONGRESS,2017,12S,201707219067035949,17,VTD7Q9XDD81,1174322,ORG,ORGANIZATION,,,ANZALONE LISZT GROVE RESEARCH INC.,AL,,,,,FOCUS GROUPS/POLLING,,,2017-03-23 00:00:00,96846.11,,,,,,,,,,,,,S2017,SPECIAL,SPECIAL,2017,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-07-25 01:58:58.397,,,,0.00,,,,,,,,,,,,H,F3,4072120171426356844,MONTGOMERY,361042546,OTHER,,2018,SB,4072420171426786389,http://docquery.fec.gov/cgi-bin/fecimg/?201707219067035949,Operating Expenditures,,,,,,
C00630426,JON OSSOFF FOR CONGRESS,2017,12R,201707219067093534,17,VTD7Q9XH8Q0,1174331,ORG,ORGANIZATION,,,BRILLIANT CORNERS RESEARCH & STRATEGIES,DC,,,,,FOCUS GROUPS,,,2017-04-04 00:00:00,17130.39,,,,,,,,,,,,,S2017,SPECIAL,SPECIAL,2017,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-08-09 02:08:26.201,,,,0.00,,,,,,,,,,,,H,F3,4072120171426356845,WASHINGTON,200055994,OTHER,,2018,SB,4080820171442885256,http://docquery.fec.gov/cgi-bin/fecimg/?201707219067093534,Operating Expenditures,,,,,,
C00630426,JON OSSOFF FOR CONGRESS,2017,30R,201707219067132018,17,VTD7QA0J8X2,1174419,ORG,ORGANIZATION,,,ANZALONE LISZT GROVE RESEARCH INC.,AL,,,,,FOCUS GROUPS AND POLLING,,,2017-06-15 00:00:00,202149.89,,,,,,,,,,,,,R2017,RUNOFF,RUNOFF,2017,A,ADD,ITEMIZED DISBURSEMENTS,2017-08-16 01:55:17.671,,,,0.00,,,,,,,,,,,,H,F3,4072120171426356848,MONTGOMERY,361042546,OTHER,,2018,SB,4081520171447227871,http://docquery.fec.gov/cgi-bin/fecimg/?201707219067132018,Operating Expenditures,,,,,,
C00630426,JON OSSOFF FOR CONGRESS,2017,12R,201707219067093928,17,VTD7Q9XRZ69,1174331,ORG,ORGANIZATION,,,ANZALONE LISZT GROVE RESEARCH INC.,AL,,,,,FOCUS GROUPS/TRAVEL,,,2017-04-13 00:00:00,30314.80,,,,,,,,,,,,,S2017,SPECIAL,SPECIAL,2017,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-08-09 02:06:58.985,,,,0.00,,,,,,,,,,,,H,F3,4072120171426356845,MONTGOMERY,361042546,OTHER,,2018,SB,4080820171442887631,http://docquery.fec.gov/cgi-bin/fecimg/?201707219067093928,Operating Expenditures,,,,,,
C00630426,JON OSSOFF FOR CONGRESS,2017,12R,201707219067093618,17,VTD7Q9Y51W2,1174331,ORG,ORGANIZATION,,,ANZALONE LISZT GROVE RESEARCH INC.,AL,,,,,FOCUS GROUPS/POLLING,,,2017-04-19 00:00:00,40300.00,,,,,,,,,,,,,S2017,SPECIAL,SPECIAL,2017,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-08-09 02:07:34.975,,,,0.00,,,,,,,,,,,,H,F3,4072120171426356845,MONTGOMERY,361042546,OTHER,,2018,SB,4080820171442885761,http://docquery.fec.gov/cgi-bin/fecimg/?201707219067093618,Operating Expenditures,,,,,,
C00654400,LISA BROWN FOR CONGRESS,2018,Q2,201807139115437867,17,VTQ999SGMB6,1246232,ORG,ORGANIZATION,,,"MOXIE MEDIA, INC",WA,,,,,FOCUS GROUP DESIGN,,,2018-05-14 00:00:00,4561.13,,,,,,,,,,,,,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-07-15 01:30:13.858,,,,0.00,,,,,,,,,,,,H,F3,4071320181575851764,SEATTLE,981132084,OTHER,,2018,SB,4071420181575942469,http://docquery.fec.gov/cgi-bin/fecimg/?201807139115437867,Operating Expenditures,,,,,,
C00658633,FRIENDS OF BEN MCADAMS,2018,Q2,201807139115414521,17,VPEEYA79TS2,1245774,ORG,ORGANIZATION,,,THE MELLMAN GROUP,DC,,,,,FOCUS GROUPS,,,2018-06-14 00:00:00,41380.93,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-07-14 01:30:48.467,,,,0.00,,,,,,,,,,,,H,F3,4071320181575851637,WASHINGTON,200074458,OTHER,,2018,SB,4071320181575894578,http://docquery.fec.gov/cgi-bin/fecimg/?201807139115414521,Operating Expenditures,,,,,,
C00637074,FINKENAUER FOR CONGRESS,2018,Q3,201810159124998154,17,500053878,1271561,ORG,ORGANIZATION,,,GBA STRATEGIES,DC,,,,,FOCUS GROUP,,,2018-07-12 00:00:00,9000.00,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-11-09 02:32:21.897,,,,0.00,,,,,,,,,,,,H,F3,4101520181599335825,WASHINGTON,200363511,OTHER,,2018,SB,4110820181615493106,http://docquery.fec.gov/cgi-bin/fecimg/?201810159124998154,Operating Expenditures,,,,,,
C00653816,COMMITTEE TO ELECT JARED GOLDEN,2018,Q3,201810159125165577,17,500044772,1272259,ORG,ORGANIZATION,,,BEACON MEDIA LLC,DC,,,,,FOCUS GROUP TRAVEL,,,2018-08-01 00:00:00,1961.14,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-11-10 02:39:35.498,,,,0.00,,,,,,,,,,,,H,F3,4101520181599336128,WASHINGTON,200064096,OTHER,,2018,SB,4110920181616491748,http://docquery.fec.gov/cgi-bin/fecimg/?201810159125165577,Operating Expenditures,,,,,,
