committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00657981,FRIENDS OF STEVE NEGRON,2018,30G,201812069134347720,17,SB17.6633,1296317,ORG,ORGANIZATION,,,THE TELEGRAPH,NH,,,,,NEWSPAPER ADVERTISING,,,2018-10-18 00:00:00,720.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:38:54.585,,,,0.00,,,,,,,,,,,,H,F3,4120620181620449619,NASHUA,03060,OTHER,,2018,SB,4121720181622103491,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134347720,Operating Expenditures,,,,,,
C00657981,FRIENDS OF STEVE NEGRON,2018,30G,201812069134347720,17,SB17.6632,1296317,ORG,ORGANIZATION,,,UNION LEADER,NH,,,,,NEWSPAPER ADVERTISING,,,2018-10-18 00:00:00,800.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:38:54.585,,,,0.00,,,,,,,,,,,,H,F3,4120620181620449619,MANCHESTER,03109,OTHER,,2018,SB,4121720181622103493,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134347720,Operating Expenditures,,,,,,
C00575167,DON BACON FOR CONGRESS,2018,30G,201812069134947558,17,B34E572CDA7F64885A6D,1299094,ORG,ORGANIZATION,,,MUNDO LATINO,NE,,,,,VISA / NEWSPAPER ADVERTISING,X,,2018-09-14 00:00:00,2000.00,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:38:54.587,,B12AFED567063480C840,SB17,0.00,,,,004,Advertising Expenses ,,,,,,,H,F3,4120620181620450176,OMAHA,68107,OTHER,,2018,SB,4121720181622103908,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134947558,Operating Expenditures,,,,,,
C00660464,CHRIS PAPPAS FOR CONGRESS,2018,30G,201812069134786919,17,VSGB09Z4J93,1298487,ORG,ORGANIZATION,,,NORTH OF BOSTON MEDIA GROUP,MA,,,,,NEWSPAPER ADS,,,2018-10-29 00:00:00,1004.70,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:39:00.678,,,,0.00,,,,004,Advertising Expenses ,,,,,,,H,F3,4120620181620450024,NORTH ANDOVER,018455033,OTHER,,2018,SB,4121720181622106602,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134786919,Operating Expenditures,,,,,,
C00660464,CHRIS PAPPAS FOR CONGRESS,2018,30G,201812069134786937,17,VSGB09Z4JB8,1298487,ORG,ORGANIZATION,,,NUTFIELD PUBLISHING,NH,,,,,NEWSPAPER ADS,,,2018-10-31 00:00:00,994.50,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:39:06.098,,,,0.00,,,,004,Advertising Expenses ,,,,,,,H,F3,4120620181620450024,LONDONDERRY,030532625,OTHER,,2018,SB,4121720181622106713,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134786937,Operating Expenditures,,,,,,
C00557520,TOM MACARTHUR FOR CONGRESS INC.,2018,30G,201812069134468762,17,BEE72AFEE5ACD49A7886,1297537,ORG,ORGANIZATION,,,NEWSPAPER MEDIA GROUP LLC,NJ,,,,,ADVERTISING NEWSPAPER,X,,2018-11-02 00:00:00,2250.00,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:39:11.246,,BCDE61290A111480FAB8,SB17,0.00,,,,004,Advertising Expenses ,,,,,,,H,F3,4120620181620449829,CHERRY HILL,080024102,OTHER,,2018,SB,4121720181622112874,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134468762,Operating Expenditures,,,,,,
C00557520,TOM MACARTHUR FOR CONGRESS INC.,2018,30G,201812069134468764,17,BBA1E6A0041314CC28BB,1297537,ORG,ORGANIZATION,,,NEWSPAPER MEDIA GROUP LLC,NJ,,,,,ADVERTISING NEWSPAPER,X,,2018-11-02 00:00:00,2250.00,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:39:11.246,,BCDE61290A111480FAB8,SB17,0.00,,,,004,Advertising Expenses ,,,,,,,H,F3,4120620181620449829,CHERRY HILL,080024102,OTHER,,2018,SB,4121720181622112888,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134468764,Operating Expenditures,,,,,,
C00557520,TOM MACARTHUR FOR CONGRESS INC.,2018,30G,201812069134468771,17,B904ADA9B492B4171926,1297537,ORG,ORGANIZATION,,,NEWSPAPER MEDIA GROUP LLC,NJ,,,,,ADVERTISING NEWSPAPER,X,,2018-10-17 00:00:00,2250.00,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:39:11.247,,B7176B80D8E1F49B08B4,SB17,0.00,,,,004,Advertising Expenses ,,,,,,,H,F3,4120620181620449829,CHERRY HILL,080024102,OTHER,,2018,SB,4121720181622112926,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134468771,Operating Expenditures,,,,,,
C00557520,TOM MACARTHUR FOR CONGRESS INC.,2018,30G,201812069134468772,17,B7E97083F6ABC46D795A,1297537,ORG,ORGANIZATION,,,NEWSPAPER MEDIA GROUP LLC,NJ,,,,,ADVERTISING NEWSPAPER,X,,2018-10-17 00:00:00,2250.00,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:39:11.247,,B7176B80D8E1F49B08B4,SB17,0.00,,,,004,Advertising Expenses ,,,,,,,H,F3,4120620181620449829,CHERRY HILL,080024102,OTHER,,2018,SB,4121720181622112932,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134468772,Operating Expenditures,,,,,,
C00557520,TOM MACARTHUR FOR CONGRESS INC.,2018,30G,201812069134468774,17,BB9598F555DDC4C3786C,1297537,ORG,ORGANIZATION,,,NEWSPAPER MEDIA GROUP LLC,NJ,,,,,ADVERTISING NEWSPAPER,X,,2018-10-17 00:00:00,2250.00,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:39:11.248,,B7176B80D8E1F49B08B4,SB17,0.00,,,,004,Advertising Expenses ,,,,,,,H,F3,4120620181620449829,CHERRY HILL,080024102,OTHER,,2018,SB,4121720181622112944,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134468774,Operating Expenditures,,,,,,
