committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00575167,DON BACON FOR CONGRESS,2018,30G,201812069134947585,17,B1AECDD47E7CD4F5A860,1299094,ORG,ORGANIZATION,,,MEETING STREET RESEARCH,SC,,,,,POLLING,,,2018-10-30 00:00:00,8000.00,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:38:54.593,,,,0.00,,,,005,Polling Expenses,,,,,,,H,F3,4120620181620450176,MOUNT PLEASANT,294644734,OTHER,,2018,SB,4121720181622104071,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134947585,Operating Expenditures,,,,,,
C00575167,DON BACON FOR CONGRESS,2018,30G,201812069134947591,17,BAE63E42F0AF14140BBC,1299094,ORG,ORGANIZATION,,,VICTORY PHONES,MI,,,,,POLLING,,,2018-10-30 00:00:00,8000.00,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:38:54.595,,,,0.00,,,,005,Polling Expenses,,,,,,,H,F3,4120620181620450176,GRAND RAPIDS,495032628,OTHER,,2018,SB,4121720181622104109,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134947591,Operating Expenditures,,,,,,
C00462861,"KUSTER FOR CONGRESS, INC",2018,30G,201812069134881213,17,VPECNA8AWG1,1298968,ORG,ORGANIZATION,,,THE MELLMAN GROUP,DC,,,,,POLLING,,,2018-10-26 00:00:00,21000.00,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:39:00.645,,,,0.00,,,,,,,,,,,,H,F3,4120620181620450137,WASHINGTON,200074458,OTHER,,2018,SB,4121720181622105678,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134881213,Operating Expenditures,,,,,,
C00660464,CHRIS PAPPAS FOR CONGRESS,2018,30G,201812069134786915,17,VSGB09Z4J02,1298487,ORG,ORGANIZATION,,,GREENBERG QUINLAN ROSNER RESEARCH,DC,,,,,POLLING EXPENSES,,,2018-10-25 00:00:00,22600.00,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:39:00.677,,,,0.00,,,,005,Polling Expenses,,,,,,,H,F3,4120620181620450024,WASHINGTON,200055002,MATERIALS,,2018,SB,4121720181622106580,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134786915,Operating Expenditures,,,,,,
C00660464,CHRIS PAPPAS FOR CONGRESS,2018,Q3,201812139142299473,17,VSGB09YP6H0,1301086,ORG,ORGANIZATION,,,GREENBERG QUINLAN ROSNER RESEARCH,DC,,,,,POLLING,,,2018-09-17 00:00:00,21400.00,,,,,,,,,,,,,G2018,,GENERAL,2018,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2018-12-18 02:39:06.118,,,,0.00,,,,005,Polling Expenses,,,,,,,H,F3,4121320181621768719,WASHINGTON,200055002,OTHER,,2018,SB,4121720181622109554,http://docquery.fec.gov/cgi-bin/fecimg/?201812139142299473,Operating Expenditures,,,,,,
C00660464,CHRIS PAPPAS FOR CONGRESS,2018,Q3,201812139142299491,17,VSGB09YHVG7,1301086,ORG,ORGANIZATION,,,GREENBERG QUINLAN ROSNER RESEARCH,DC,,,,,POLLING,,,2018-08-23 00:00:00,16700.00,,,,,,,,,,,,,P2018,,PRIMARY,2018,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2018-12-18 02:39:06.122,,,,0.00,,,,005,Polling Expenses,,,,,,,H,F3,4121320181621768719,WASHINGTON,200055002,OTHER,,2018,SB,4121720181622109664,http://docquery.fec.gov/cgi-bin/fecimg/?201812139142299491,Operating Expenditures,,,,,,
C00669069,WEBBER FOR CONGRESS,2018,30G,201812069135104250,17,SB17-EX190,1299593,ORG,ORGANIZATION,,,NATIONAL RESEARCH INC.,NJ,,,,,POLLING,,,2018-10-22 00:00:00,15500.00,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:39:11.187,,,,0.00,,,,005,Polling Expenses,,,,,,,H,F3,4120720181620534728,HOLMDEL,07733,OTHER,POLLING,2018,SB,4121720181622111132,http://docquery.fec.gov/cgi-bin/fecimg/?201812069135104250,Operating Expenditures,,,,,,
C00657049,MALCOLM E. WHITTAKER ELECTION COMMITTEE,2018,Q2,201809299124258471,17,SB17.4266,1264389,CAN,CANDIDATE,C00657049,,"WHITTAKER, MALCOLM EDWIN MR.",TX,MALCOLM E. WHITTAKER ELECTION COMMITTEE,,,,TRAVE TO POLLING LOCATION,,,2018-05-22 00:00:00,13.44,H,HOUSE,02,,,,,,,,TX,TEXAS,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,2018-10-02 01:35:49.784,,,,0.00,WHITTAKER,MALCOLM EDWIN MR.,,003,Solicitation and Fundraising Expenses ,,,,,,,H,F3,4093020181593004515,HOUSTON,77005,OTHER,,2018,SB,4100120181593019693,http://docquery.fec.gov/cgi-bin/fecimg/?201809299124258471,Operating Expenditures,,,,,,
C00390476,CATHY MCMORRIS RODGERS FOR CONGRESS,2018,12P,201809309124266887,17,SB17.112377,1264412,ORG,ORGANIZATION,,,MOORE INFORMATION INC,OR,,,,,POLLING - NEW POLL,,,2018-07-07 00:00:00,21300.00,,,,,,,,,,,,,P2018,,PRIMARY,2018,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2018-10-02 01:35:49.799,,,,0.00,,,,005,Polling Expenses,,,,,,,H,F3,4093020181593004518,PORTLAND,97201,OTHER,,2018,SB,4100120181593020007,http://docquery.fec.gov/cgi-bin/fecimg/?201809309124266887,Operating Expenditures,,,,,,
C00390476,CATHY MCMORRIS RODGERS FOR CONGRESS,2018,12P,201809309124266887,17,SB17.113067,1264412,ORG,ORGANIZATION,,,MOORE INFORMATION INC,OR,,,,,POLLING - NEW POLL,,,2018-07-18 00:00:00,16200.00,,,,,,,,,,,,,P2018,,PRIMARY,2018,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2018-10-02 01:35:49.799,,,,0.00,,,,005,Polling Expenses,,,,,,,H,F3,4093020181593004518,PORTLAND,97201,OTHER,,2018,SB,4100120181593020009,http://docquery.fec.gov/cgi-bin/fecimg/?201809309124266887,Operating Expenditures,,,,,,
