committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00096412,FRIENDS OF CHRIS SMITH,2018,30G,201812069135180695,17,B77D4E5E06AC14579936,1299703,ORG,ORGANIZATION,,,"PRESS COMMUNICATIONS, LLC",NJ,,,,,MEDIA-RADIO ADS,X,,2018-11-02 00:00:00,2448.00,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:39:15.38,,BD301C4768826497EA91,SB17,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,H,F3,4120720181620534770,WALL TOWNSHIP,077536815,ADVERTISING,,2018,SB,4121720181622113548,http://docquery.fec.gov/cgi-bin/fecimg/?201812069135180695,Operating Expenditures,,,,,,
C00637660,FRIENDS OF RANDY WADKINS,2018,30G,201812159143523777,17,SB17.41516,1301463,ORG,ORGANIZATION,C00637660,,CUMULUS MEDIA,TN,FRIENDS OF RANDY WADKINS,,,,RADIO ADVERTISEMENTS,,,2018-10-31 00:00:00,697.00,H,HOUSE,01,,,,,,,,MS,MISSISSIPPI,G2018,,GENERAL,2018,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2018-12-16 02:28:08.015,,,,0.00,,,,004,Advertising Expenses ,,,,,,,H,F3,4121520181622086471,MEMPHIS,38119,ADVERTISING,,2018,SB,4121520181622090200,http://docquery.fec.gov/cgi-bin/fecimg/?201812159143523777,Operating Expenditures,,,,,,
C00637660,FRIENDS OF RANDY WADKINS,2018,30G,201812159143523791,17,SB17.41520,1301463,ORG,ORGANIZATION,C00637660,,IHEART MEDIA,IL,FRIENDS OF RANDY WADKINS,,,,RADIO ADVERTISEMENTS,,,2018-10-31 00:00:00,1512.00,H,HOUSE,01,,,,,,,,MS,MISSISSIPPI,G2018,,GENERAL,2018,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2018-12-16 02:28:08.019,,,,0.00,,,,004,Advertising Expenses ,,,,,,,H,F3,4121520181622086471,CHICAGO,60693,ADVERTISING,,2018,SB,4121520181622090280,http://docquery.fec.gov/cgi-bin/fecimg/?201812159143523791,Operating Expenditures,,,,,,
C00637660,FRIENDS OF RANDY WADKINS,2018,30G,201812159143523792,17,SB17.41518,1301463,ORG,ORGANIZATION,C00637660,,MISSISSIPPI RADIO GROUP,MS,FRIENDS OF RANDY WADKINS,,,,RADIO ADVERTISEMENTS,,,2018-10-31 00:00:00,1453.00,H,HOUSE,01,,,,,,,,MS,MISSISSIPPI,G2018,,GENERAL,2018,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2018-12-16 02:28:08.02,,,,0.00,,,,004,Advertising Expenses ,,,,,,,H,F3,4121520181622086471,TUPELO,38801,ADVERTISING,,2018,SB,4121520181622090288,http://docquery.fec.gov/cgi-bin/fecimg/?201812159143523792,Operating Expenditures,,,,,,
C00637660,FRIENDS OF RANDY WADKINS,2018,30G,201812159143523802,17,SB17.41533,1301463,ORG,ORGANIZATION,C00637660,,WTVA,MS,FRIENDS OF RANDY WADKINS,,,,RADIO AND WEB ADVERTISEMENT,,,2018-11-02 00:00:00,1950.00,H,HOUSE,01,,,,,,,,MS,MISSISSIPPI,G2018,,GENERAL,2018,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2018-12-16 02:28:08.023,,,,0.00,,,,004,Advertising Expenses ,,,,,,,H,F3,4121520181622086471,TUPELO,38866,ADVERTISING,,2018,SB,4121520181622090348,http://docquery.fec.gov/cgi-bin/fecimg/?201812159143523802,Operating Expenditures,,,,,,
C00637660,FRIENDS OF RANDY WADKINS,2018,30G,201812159143523802,17,SB17.41535,1301463,ORG,ORGANIZATION,C00637660,,WTVA,MS,FRIENDS OF RANDY WADKINS,,,,RADIO AND WEB ADVERTISEMENT,,,2018-11-02 00:00:00,2550.00,H,HOUSE,01,,,,,,,,MS,MISSISSIPPI,G2018,,GENERAL,2018,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2018-12-16 02:28:08.023,,,,0.00,,,,004,Advertising Expenses ,,,,,,,H,F3,4121520181622086471,TUPELO,38866,ADVERTISING,,2018,SB,4121520181622090350,http://docquery.fec.gov/cgi-bin/fecimg/?201812159143523802,Operating Expenditures,,,,,,
C00670224,MORALES FOR CONGRESS,2018,12P,201809289124252193,17,SB17.4355,1264263,ORG,ORGANIZATION,C00670224,,THE JOHN C SCOTT COMPANY LLC - KVOI RADIO 1030 AM,AZ,MORALES FOR CONGRESS,,,,RADIO ANNOUNCEMENT,,,2018-07-01 00:00:00,506.00,H,HOUSE,02,,,,,,,,AZ,ARIZONA,P2018,,PRIMARY,2018,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2018-09-29 01:31:19.207,,,,0.00,,,,004,Advertising Expenses ,,,,,,,H,F3,4092820181592958024,TUCSON,85713,ADVERTISING,,2018,SB,4092820181592979209,http://docquery.fec.gov/cgi-bin/fecimg/?201809289124252193,Operating Expenditures,,,,,,
C00670224,MORALES FOR CONGRESS,2018,12P,201809289124252193,17,SB17.4396,1264263,ORG,ORGANIZATION,C00670224,,THE JOHN C SCOTT COMPANY LLC - KVOI RADIO 1030 AM,AZ,MORALES FOR CONGRESS,,,,KVOI RADIO ADVERTISING EVENT,,,2018-08-01 00:00:00,300.00,H,HOUSE,02,,,,,,,,AZ,ARIZONA,P2018,,PRIMARY,2018,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2018-09-29 01:31:19.207,,,,0.00,,,,004,Advertising Expenses ,,,,,,,H,F3,4092820181592958024,TUCSON,85713,ADVERTISING,,2018,SB,4092820181592979211,http://docquery.fec.gov/cgi-bin/fecimg/?201809289124252193,Operating Expenditures,,,,,,
C00671081,MICHELLE LEE FOR CONGRESS,2018,Q3,201809289124255074,17,VVAQM9W8219,1264311,ORG,ORGANIZATION,,,HUBBARD RADIO BRAINERD,MN,,,,,RADIO ADVERTISING,,,2018-08-01 00:00:00,956.00,,,,,,,,,,,,,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-09-29 01:31:29.906,,,,0.00,,,,004,Advertising Expenses ,,,,,,,H,F3,4092820181592958027,BAXTER,564258669,ADVERTISING,,2018,SB,4092820181592982415,http://docquery.fec.gov/cgi-bin/fecimg/?201809289124255074,Operating Expenditures,,,,,,
C00671081,MICHELLE LEE FOR CONGRESS,2018,Q3,201809289124255074,17,VVAQM9W8243,1264311,ORG,ORGANIZATION,,,KSDM RADIO,MN,,,,,RADIO ADVERTISING,,,2018-08-01 00:00:00,288.00,,,,,,,,,,,,,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-09-29 01:31:29.906,,,,0.00,,,,004,Advertising Expenses ,,,,,,,H,F3,4092820181592958027,INTERNATIONAL FALLS,566492317,ADVERTISING,,2018,SB,4092820181592982419,http://docquery.fec.gov/cgi-bin/fecimg/?201809289124255074,Operating Expenditures,,,,,,
