committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00096412,FRIENDS OF CHRIS SMITH,2018,30G,201812069135180693,17,BC6B09BEEA7494ACABAD,1299703,ORG,ORGANIZATION,,,DELAWARE CORP & TAX WEB,DE,,,,,RESEARCH COST,X,,2018-11-02 00:00:00,280.00,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:39:15.379,,BD301C4768826497EA91,SB17,0.00,,,,006,Campaign Materials,,,,,,,H,F3,4120720181620534770,LEWES,19958,OTHER,,2018,SB,4121720181622113538,http://docquery.fec.gov/cgi-bin/fecimg/?201812069135180693,Operating Expenditures,,,,,,
C00575167,DON BACON FOR CONGRESS,2018,30G,201812069134947554,17,B31C6131D69C540EE95D,1299094,ORG,ORGANIZATION,,,UNIVERSAL INFORMATION SERVICES,NE,,,,,VISA / RESEARCH SERVICES,X,,2018-09-05 00:00:00,416.58,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:38:54.586,,B12AFED567063480C840,SB17,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,H,F3,4120620181620450176,OMAHA,681022022,OTHER,,2018,SB,4121720181622103888,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134947554,Operating Expenditures,,,,,,
C00575167,DON BACON FOR CONGRESS,2018,30G,201812069134947566,17,BC89F4CEA7EDC45A3898,1299094,ORG,ORGANIZATION,,,UNIVERSAL INFORMATION SERVICES,NE,,,,,VISA / RESEARCH SERVICES,X,,2018-10-04 00:00:00,416.58,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:38:54.59,,B12AFED567063480C840,SB17,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,H,F3,4120620181620450176,OMAHA,681022022,OTHER,,2018,SB,4121720181622103961,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134947566,Operating Expenditures,,,,,,
C00575167,DON BACON FOR CONGRESS,2018,30G,201812069134947607,17,B3E5D3FFE2B1847D8A6E,1299094,ORG,ORGANIZATION,,,UNIVERSAL INFORMATION SERVICES,NE,,,,,VISA / RESEARCH SERVICES,X,,2018-11-01 00:00:00,416.58,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:38:54.598,,B9D0EAC4C30344B018BA,SB17,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,H,F3,4120620181620450176,OMAHA,681022022,OTHER,,2018,SB,4121720181622104203,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134947607,Operating Expenditures,,,,,,
C00660464,CHRIS PAPPAS FOR CONGRESS,2018,30G,201812069134786930,17,VSGB09Z4G97,1298487,ORG,ORGANIZATION,,,D'AMICO STRATEGY & COMMUNICATIONS,FL,,,,,RESEARCH (PRIMARY),,,2018-11-09 00:00:00,4000.00,,,,,,,,,,,,,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:39:00.68,,,,0.00,,,,,,,,,,,,H,F3,4120620181620450024,ORLANDO,328035127,OTHER,,2018,SB,4121720181622106673,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134786930,Operating Expenditures,,,,,,
C00660464,CHRIS PAPPAS FOR CONGRESS,2018,30G,201812069134786941,17,VSGB09Z4G89,1298487,ORG,ORGANIZATION,,,D'AMICO STRATEGY & COMMUNICATIONS,FL,,,,,RESEARCH (PRIMARY),,,2018-10-24 00:00:00,4000.00,,,,,,,,,,,,,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:39:06.099,,,,0.00,,,,,,,,,,,,H,F3,4120620181620450024,ORLANDO,328035127,OTHER,,2018,SB,4121720181622106737,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134786941,Operating Expenditures,,,,,,
C00557520,TOM MACARTHUR FOR CONGRESS INC.,2018,30G,201812069134468764,17,B893F915062064D069E7,1297537,ORG,ORGANIZATION,,,VOTERTROVE,CA,,,,,RESEARCH,X,,2018-11-02 00:00:00,312.50,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:39:11.246,,BCDE61290A111480FAB8,SB17,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,H,F3,4120620181620449829,SAN FRANCISCO,94110,OTHER,,2018,SB,4121720181622112886,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134468764,Operating Expenditures,,,,,,
C00640045,ELIZABETH PANNILL FLETCHER FOR CONGRESS,2018,Q2,201809309124267866,17,VTDMNA8E6V0,1264431,ORG,ORGANIZATION,,,GREENBERG QUINLAN ROSNER RESEARCH,DC,,,,,RESEARCH SERVICES,,,2018-06-12 00:00:00,17000.00,,,,,,,,,,,,,G2018,,GENERAL,2018,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2018-10-02 01:35:44.811,,,,0.00,,,,,,,,,,,,H,F3,4100120181593006045,WASHINGTON,200024228,OTHER,,2018,SB,4100120181593019371,http://docquery.fec.gov/cgi-bin/fecimg/?201809309124267866,Operating Expenditures,,,,,,
C00390476,CATHY MCMORRIS RODGERS FOR CONGRESS,2018,12P,201809309124266904,17,SB17.113284,1264412,ORG,ORGANIZATION,,,WASHINTON ST REPUB PARTY,WA,,,,,IN-KIND - OFFICE - RESEARCH CONSULTING,,,2018-07-13 00:00:00,840.00,,,,,,,,,,,,,P2018,,PRIMARY,2018,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2018-10-02 01:35:49.804,,,,0.00,,,,,,,,,,,,H,F3,4093020181593004518,BELLEVUE,98005,OTHER,,2018,SB,4100120181593020107,http://docquery.fec.gov/cgi-bin/fecimg/?201809309124266904,Operating Expenditures,,,,,,
C00580415,FASO FOR CONGRESS,2018,Q2,201809279124250931,17,B04DCC937F7774BF0A59,1264163,ORG,ORGANIZATION,,,"I360, LLC",IL,,,,,RESEARCH CONSULTING,,,2018-06-22 00:00:00,1685.58,,,,,,,,,,,,,P2018,,PRIMARY,2018,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2018-09-28 01:39:11.957,,,,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,H,F3,4092720181592607583,CHICAGO,606731293,OTHER,,2018,SB,4092720181592619583,http://docquery.fec.gov/cgi-bin/fecimg/?201809279124250931,Operating Expenditures,,,,,,
C00393629,MCHENRY FOR CONGRESS,2018,30G,201812069134349374,17,SB17.I12618,1296356,ORG,ORGANIZATION,,,HARPER POLLING LLC,PA,,,,,RESEARCH,,,2018-11-15 00:00:00,13535.00,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:39:20.136,,,,0.00,,,,,,,,,,,,H,F3,4120620181620449635,HARRISBURG,171011005,OTHER,,2018,SB,4121720181622115672,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134349374,Operating Expenditures,,,,,,
C00656686,TOM MALINOWSKI FOR CONGRESS,2018,30G,201812079142257790,17,VTQ9F9VF4G7,1300261,ORG,ORGANIZATION,,,DIGIDEMS LLC,CA,,,,,RESEARCH,,,2018-11-13 00:00:00,33249.20,,,,,,,,,,,,,P2020,,PRIMARY,2020,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2018-12-18 02:39:15.388,,,,0.00,,,,,,,,,,,,H,F3,4120720181620534956,LOS ANGELES,900482633,OTHER,,2018,SB,4121720181622113774,http://docquery.fec.gov/cgi-bin/fecimg/?201812079142257790,Operating Expenditures,,,,,,
C00656686,TOM MALINOWSKI FOR CONGRESS,2018,30G,201812079142257796,17,VTQ9F9VEDN8,1300261,ORG,ORGANIZATION,,,GREENBERG QUINLAN ROSNER RESEARCH,DC,,,,,RESEARCH,,,2018-11-05 00:00:00,21600.00,,,,,,,,,,,,,G2018,,GENERAL,2018,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2018-12-18 02:39:15.389,,,,0.00,,,,,,,,,,,,H,F3,4120720181620534956,WASHINGTON,200055002,OTHER,,2018,SB,4121720181622113810,http://docquery.fec.gov/cgi-bin/fecimg/?201812079142257796,Operating Expenditures,,,,,,
C00305052,WALTER JONES COMMITTEE,2018,30G,201812069134366165,17,SB17.43911,1296418,ORG,ORGANIZATION,,,PEOPLESMART,NE,,,,,RESEARCH SERVICE,,,2018-10-25 00:00:00,19.95,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:39:20.139,,,,0.00,,,,,,,,,,,,H,F3,4120620181620449643,OMAHA,68139,OTHER,,2018,SB,4121720181622115750,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134366165,Operating Expenditures,,,,,,
C00670547,ARMSTRONG FOR CONGRESS,2018,Q3,201812069134378226,17,SB17.10005,1296575,ORG,ORGANIZATION,,,AXIS RESEARCH INC,VA,,,,,SURVEY RESEARCH,,,2018-07-23 00:00:00,31900.00,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2018-12-18 02:39:15.431,,,,0.00,,,,,,,,,,,,H,F3,4120620181620449664,ALEXANDRIA,22314,OTHER,,2018,SB,4121720181622114960,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134378226,Operating Expenditures,,,,,,
C00670547,ARMSTRONG FOR CONGRESS,2018,Q3,201812069134378226,17,SB17.10058,1296575,ORG,ORGANIZATION,,,AXIS RESEARCH INC,VA,,,,,SURVEY RESEARCH,,,2018-08-31 00:00:00,32000.00,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2018-12-18 02:39:15.431,,,,0.00,,,,,,,,,,,,H,F3,4120620181620449664,ALEXANDRIA,22314,OTHER,,2018,SB,4121720181622114962,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134378226,Operating Expenditures,,,,,,
C00670547,ARMSTRONG FOR CONGRESS,2018,Q3,201812069134378229,17,SB17.10009,1296575,ORG,ORGANIZATION,,,CANNON RESEARCH GROUP,MO,,,,,RESEARCH CONSULTING,,,2018-07-02 00:00:00,12000.00,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2018-12-18 02:39:15.431,,,,0.00,,,,,,,,,,,,H,F3,4120620181620449664,KANSAS CITY,64116,OTHER,,2018,SB,4121720181622114981,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134378229,Operating Expenditures,,,,,,
