committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00655837,SEIDMAN FOR CONGRESS,2018,12P,201805040300210236,17,,1229971,,,,,KROGER FUEL,GA,,,,,SOCIAL MEDIA,,,2018-04-09 00:00:00,58.00,H,HOUSE,01,,"SEIDMAN, BARBARA",BARBARA,SEIDMAN,,,,GA,GEORGIA,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2018-05-10 01:31:01.4,,,,0.00,,,,,,,,,,,,H,F3,1050420180036653494,WAYCROSS,31501,ADVERTISING,,2018,SB,2050920181547042899,http://docquery.fec.gov/cgi-bin/fecimg/?201805040300210236,Operating Expenditures,,,,,,
C00637660,FRIENDS OF RANDY WADKINS,2018,30G,201812159143523790,17,SB17.41532,1301463,ORG,ORGANIZATION,C00637660,,HOOTSUITE,CA,FRIENDS OF RANDY WADKINS,,,,SOCIAL MEDIA PLATFORM,,,2018-11-02 00:00:00,189.00,H,HOUSE,01,,,,,,,,MS,MISSISSIPPI,G2018,,GENERAL,2018,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2018-12-16 02:28:08.018,,,,0.00,,,,004,Advertising Expenses ,,,,,,,H,F3,4121520181622086471,SAN FRANCISCO,94104,ADVERTISING,,2018,SB,4121520181622090276,http://docquery.fec.gov/cgi-bin/fecimg/?201812159143523790,Operating Expenditures,,,,,,
C00657981,FRIENDS OF STEVE NEGRON,2018,30G,201812069134347713,17,SB17.5800,1296317,IND,INDIVIDUAL,,,"MACDONALD, STEVE",NH,,,,,SOCIAL MEDIA CONSULTING,,,2018-10-21 00:00:00,500.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:38:54.584,,,,0.00,MACDONALD,STEVE,,,,,,,,,,H,F3,4120620181620449619,MERRIMACK,03054,ADVERTISING,,2018,SB,4121720181622103453,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134347713,Operating Expenditures,,,,,,
C00657981,FRIENDS OF STEVE NEGRON,2018,30G,201812069134347714,17,SB17.5801,1296317,ORG,ORGANIZATION,,,MANY STREAMS,NH,,,,,SOCIAL MEDIA MARKETING,,,2018-10-21 00:00:00,1500.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:38:54.585,,,,0.00,,,,,,,,,,,,H,F3,4120620181620449619,PIERMONT,03779,ADVERTISING,,2018,SB,4121720181622103459,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134347714,Operating Expenditures,,,,,,
C00669671,EWERT FOR CONGRESS,2018,Q3,201810019124267946,17,VVAR99XF6R0,1264434,ORG,ORGANIZATION,,,CREATIVE MEDIA STRATEGIES,WI,,,,,SOCIAL MEDIA SERVICES,,,2018-08-16 00:00:00,2500.00,,,,,,,,,,,,,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-10-02 01:35:44.791,,,,0.00,,,,,,,,,,,,H,F3,4100120181593006047,MARSHFIELD,544494858,ADVERTISING,,2018,SB,4100120181593019002,http://docquery.fec.gov/cgi-bin/fecimg/?201810019124267946,Operating Expenditures,,,,,,
C00649194,WATTS FOR CONGRESS,2018,30G,201812079135385294,17,VTQ3Q9VVGJ2,1300101,IND,INDIVIDUAL,,,"GATLIN, WENDY",NC,,,,,SOCIAL MEDIA CONSULTING,,,2018-11-19 00:00:00,500.00,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:39:15.415,,,,0.00,GATLIN,WENDY,,,,,,,,,,H,F3,4120720181620534925,HOLLY SPRINGS,275407409,ADVERTISING,,2018,SB,4121720181622114515,http://docquery.fec.gov/cgi-bin/fecimg/?201812079135385294,Operating Expenditures,,,,,,
C00664417,CHRIS HUNTER FOR CONGRESS,2018,30G,201812069134481957,17,VVAH19YQHR4,1297682,ORG,ORGANIZATION,,,FACEBOOK,CA,,,,,SOCIAL MEDIA ADVERTISING,X,,2018-10-23 00:00:00,500.00,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:39:39.481,,VVAH19YQHA3,SB17,0.00,,,,,,,,,,,,H,F3,4120620181620449863,MENLO PARK,940251456,ADVERTISING,*,2018,SB,4121720181622125838,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134481957,Operating Expenditures,,,,,,
C00664417,CHRIS HUNTER FOR CONGRESS,2018,30G,201812069134481957,17,VVAH19YQHT9,1297682,ORG,ORGANIZATION,,,FACEBOOK,CA,,,,,SOCIAL MEDIA ADVERTISING,X,,2018-10-23 00:00:00,197.91,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:39:39.481,,VVAH19YQHA3,SB17,0.00,,,,,,,,,,,,H,F3,4120620181620449863,MENLO PARK,940251456,ADVERTISING,*,2018,SB,4121720181622125840,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134481957,Operating Expenditures,,,,,,
C00498121,ROGER WILLIAMS FOR U S CONGRESS COMMITTEE,2018,12P,201802229095519877,17,SB17.8401,1211092,ORG,ORGANIZATION,,,UPSTREAM COMMUNICATIONS,TX,,,,,"EMAIL BROADCAST SERVICES, ONLINE ADVERTISING, SOCIAL MEDIA SERVICES",,,2018-01-21 00:00:00,812.86,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-02-24 01:54:12.14,,,,0.00,,,,,,,,,,,,H,F3,4022320181514606173,AUSTIN,78701,ADVERTISING,,2018,SB,4022320181514655926,http://docquery.fec.gov/cgi-bin/fecimg/?201802229095519877,Operating Expenditures,,,,,,
C00498121,ROGER WILLIAMS FOR U S CONGRESS COMMITTEE,2018,Q2,201807159115687480,17,SB17.8822,1248743,ORG,ORGANIZATION,,,UPSTREAM COMMUNICATIONS,TX,,,,,"EMAIL BROADCAST SERVICES, ONLINE ADVERTISING, SOCIAL MEDIA SERVICES",,,2018-04-20 00:00:00,850.76,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-07-26 01:31:08.859,,,,0.00,,,,,,,,,,,,H,F3,4071620181575981650,AUSTIN,78701,ADVERTISING,,2018,SB,4072520181576763774,http://docquery.fec.gov/cgi-bin/fecimg/?201807159115687480,Operating Expenditures,,,,,,
