committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00639054,DEB HAALAND FOR CONGRESS,2018,12G,201812069134475064,17,VNGZH9Y33Q7,1297617,ORG,ORGANIZATION,,,"SAGE MEDIA PLANNING & PLACEMENT, INC.",DC,,,,,ADVERTISING - TV,,,2018-10-03 00:00:00,190240.87,,,,,,,,,,,,,G2018,,GENERAL,2018,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2018-12-18 02:38:54.549,,,,0.00,,,,,,,,,,,,H,F3,4120620181620449847,WASHINGTON,200033021,OTHER,,2018,SB,4121720181622102542,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134475064,Operating Expenditures,,,,,,
C00639054,DEB HAALAND FOR CONGRESS,2018,12G,201812069134475064,17,VNGZH9Y3761,1297617,ORG,ORGANIZATION,,,"SAGE MEDIA PLANNING & PLACEMENT, INC.",DC,,,,,ADVERTISING - TV,,,2018-10-11 00:00:00,65533.13,,,,,,,,,,,,,G2018,,GENERAL,2018,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2018-12-18 02:38:54.55,,,,0.00,,,,,,,,,,,,H,F3,4120620181620449847,WASHINGTON,200033021,OTHER,,2018,SB,4121720181622102544,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134475064,Operating Expenditures,,,,,,
C00657981,FRIENDS OF STEVE NEGRON,2018,30G,201812069134347711,17,SB17.6652,1296317,ORG,ORGANIZATION,,,AX MEDIA,MO,,,,,TV ADVERTISING,,,2018-10-25 00:00:00,7004.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:38:54.584,,,,0.00,,,,,,,,,,,,H,F3,4120620181620449619,KANSAS CITY,64116,OTHER,,2018,SB,4121720181622103437,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134347711,Operating Expenditures,,,,,,
C00575167,DON BACON FOR CONGRESS,2018,30G,201812069134947586,17,BCB8E795E952148749D5,1299094,ORG,ORGANIZATION,,,REDPRINT STRATEGY,VA,,,,,TELEVISION PRODUCTION,,,2018-10-30 00:00:00,11000.00,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:38:54.594,,,,0.00,,,,004,Advertising Expenses ,,,,,,,H,F3,4120620181620450176,HERNDON,201710993,ADVERTISING,,2018,SB,4121720181622104081,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134947586,Operating Expenditures,,,,,,
C00575167,DON BACON FOR CONGRESS,2018,30G,201812069134947587,17,B3E333707F83F4F6DA23,1299094,ORG,ORGANIZATION,,,REDPRINT STRATEGY,VA,,,,,TELEVISION PRODUCTION,,,2018-10-30 00:00:00,5500.00,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:38:54.594,,,,0.00,,,,004,Advertising Expenses ,,,,,,,H,F3,4120620181620450176,HERNDON,201710993,ADVERTISING,,2018,SB,4121720181622104083,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134947587,Operating Expenditures,,,,,,
C00575167,DON BACON FOR CONGRESS,2018,30G,201812069134947587,17,B3586E211FBC64730A97,1299094,ORG,ORGANIZATION,,,REDPRINT STRATEGY,VA,,,,,TELEVISION PRODUCTION,,,2018-10-30 00:00:00,12500.00,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-12-18 02:38:54.594,,,,0.00,,,,004,Advertising Expenses ,,,,,,,H,F3,4120620181620450176,HERNDON,201710993,ADVERTISING,,2018,SB,4121720181622104085,http://docquery.fec.gov/cgi-bin/fecimg/?201812069134947587,Operating Expenditures,,,,,,
C00660464,CHRIS PAPPAS FOR CONGRESS,2018,12P,201812139142298539,17,VSGB09YHV76,1301084,ORG,ORGANIZATION,,,"THE CAMPAIGN GROUP, INC.",PA,,,,,TV PRODUCTION,,,2018-08-15 00:00:00,10000.00,,,,,,,,,,,,,P2018,,PRIMARY,2018,C,CHANGE,ITEMIZED DISBURSEMENTS,2018-12-18 02:39:00.654,,,,0.00,,,,004,Advertising Expenses ,,,,,,,H,F3,4121320181621768718,PHILADELPHIA,191036305,OTHER,,2018,SB,4121720181622105938,http://docquery.fec.gov/cgi-bin/fecimg/?201812139142298539,Operating Expenditures,,,,,,
C00660464,CHRIS PAPPAS FOR CONGRESS,2018,12P,201812139142298545,17,VSGB09YG5K7,1301084,ORG,ORGANIZATION,,,"THE CAMPAIGN GROUP, INC.",PA,,,,,TV PRODUCTION,,,2018-07-09 00:00:00,18835.00,,,,,,,,,,,,,P2018,,PRIMARY,2018,C,CHANGE,ITEMIZED DISBURSEMENTS,2018-12-18 02:39:00.655,,,,0.00,,,,004,Advertising Expenses ,,,,,,,H,F3,4121320181621768718,PHILADELPHIA,191036305,OTHER,,2018,SB,4121720181622105972,http://docquery.fec.gov/cgi-bin/fecimg/?201812139142298545,Operating Expenditures,,,,,,
C00660464,CHRIS PAPPAS FOR CONGRESS,2018,12G,201812139142300180,17,VSGB09YX4T1,1301092,ORG,ORGANIZATION,,,"THE CAMPAIGN GROUP, INC.",PA,,,,,TV/DIGITAL PRODUCTION,,,2018-10-12 00:00:00,6095.00,,,,,,,,,,,,,G2018,,GENERAL,2018,C,CHANGE,ITEMIZED DISBURSEMENTS,2018-12-18 02:39:06.114,,,,0.00,,,,004,Advertising Expenses ,,,,,,,H,F3,4121320181621768722,PHILADELPHIA,191036305,OTHER,,2018,SB,4121720181622107134,http://docquery.fec.gov/cgi-bin/fecimg/?201812139142300180,Operating Expenditures,,,,,,
C00660464,CHRIS PAPPAS FOR CONGRESS,2018,12G,201812139142300182,17,VSGB09YX5H2,1301092,ORG,ORGANIZATION,,,"THE CAMPAIGN GROUP, INC.",PA,,,,,TV PRODUCTION,,,2018-10-07 00:00:00,7724.81,,,,,,,,,,,,,G2018,,GENERAL,2018,C,CHANGE,ITEMIZED DISBURSEMENTS,2018-12-18 02:39:06.115,,,,0.00,,,,004,Advertising Expenses ,,,,,,,H,F3,4121320181621768722,PHILADELPHIA,191036305,OTHER,,2018,SB,4121720181622107148,http://docquery.fec.gov/cgi-bin/fecimg/?201812139142300182,Operating Expenditures,,,,,,
